replication,blocksize,dimension,start_reduce_percentage,reducers,start_time,start_reduce,end_time,total_time
4,134217728,500000000,0.35,24,1459186611,1459186805,1459187885,1274
4,134217728,500000000,0.5,48,1459205321,1459205563,1459206469,1148
1,99840000,200000000,0.5,12,1456440699,1456440826,1456440999,300
4,16640000,300000000,0.05,6,1459237268,1459237385,1459238672,1404
2,99840000,400000000,0.35,24,1458769849,1458769999,1458770798,949
2,133120000,300000000,0.05,48,1458819070,1458819149,1458819694,624
3,1572864,200000000,0.05,12,1454685391,1454685927,1454692094,6703
2,16640000,500000000,0.5,6,1458999949,1459000714,1459002368,2419
2,134217728,300000000,0.5,6,1458878886,1458879036,1458880237,1351
1,133120000,500000000,0.05,12,1456126811,1456126886,1456128085,1274
4,16640000,500000000,0.5,12,1456556939,1456557730,1456559161,2222
4,134217728,500000000,0.35,48,1459189077,1459189257,1459190406,1329
4,134217728,400000000,0.5,6,1459184272,1459184465,1459185188,916
3,2097152,200000000,0.05,12,1454741747,1454742209,1454747642,5895
3,2097152,200000000,0.5,12,1455577141,1455579277,1455582052,4911
4,99840000,300000000,0.35,6,1459017562,1459017682,1459018485,923
2,33280000,300000000,0.05,12,1456472663,1456472724,1456473613,950
4,16640000,500000000,0.35,6,1459283971,1459284498,1459286150,2179
2,133120000,300000000,0.35,48,1458815038,1458815167,1458815618,580
4,99840000,400000000,0.05,24,1459036062,1459036137,1459036998,936
4,16640000,300000000,0.05,24,1459232676,1459232796,1459234089,1413
2,133120000,300000000,0.35,24,1458813802,1458813918,1458814462,660
4,134217728,200000000,0.05,6,1459147963,1459148008,1459148399,436
4,133120000,500000000,0.35,48,1459119956,1459120135,1459121098,1142
4,33280000,400000000,0.5,12,1456570865,1456571220,1456572070,1205
2,133120000,500000000,0.5,6,1458857062,1458857297,1458860322,3260
2,134217728,300000000,0.5,12,1456149018,1456149195,1456149780,762
4,16640000,300000000,0.5,24,1459239590,1459240048,1459241240,1650
2,16640000,300000000,0.05,24,1458934108,1458934237,1458935471,1363
3,1048576,200000000,0.05,12,1454605478,1454606448,1454616429,10951
2,16640000,300000000,0.5,48,1458942279,1458942736,1458943766,1487
2,1048576,400000000,0.5,12,1455292401,1455302392,1455315342,22941
2,133120000,500000000,0.05,6,1458850121,1458850181,1458852362,2241
4,16640000,500000000,0.35,24,1459275771,1459276336,1459278678,2907
2,16640000,400000000,0.05,24,1458955271,1458955430,1458957941,2670
3,66560000,200000000,0.5,12,1456239876,1456240009,1456240333,457
2,16640000,400000000,0.5,24,1458963891,1458964492,1458965694,1803
4,133120000,200000000,0.05,48,1459077911,1459077955,1459078319,408
4,134217728,400000000,0.35,6,1459171750,1459171891,1459172907,1157
2,16640000,200000000,0.35,24,1458914391,1458914619,1458915347,956
4,133120000,500000000,0.05,12,1456295744,1456295811,1456296902,1158
4,134217728,200000000,0.5,48,1459150258,1459150376,1459150587,329
4,66560000,200000000,0.05,12,1456298771,1456298818,1456299173,402
4,99840000,200000000,0.35,48,1459004345,1459004449,1459004721,376
2,134217728,400000000,0.5,12,1456153796,1456154015,1456155085,1289
2,133120000,300000000,0.05,12,1456168498,1456168598,1456169278,780
2,99840000,500000000,0.5,6,1458802169,1458802419,1458804841,2672
3,1048576,300000000,0.05,12,1454617472,1454618687,1454634272,16800
4,133120000,300000000,0.35,48,1459085447,1459085567,1459086098,651
4,133120000,400000000,0.35,24,1459098799,1459098949,1459099645,846
1,134217728,400000000,0.05,12,1456105257,1456105320,1456106419,1162
4,133120000,200000000,0.35,6,1459075379,1459075470,1459076020,641
4,16640000,300000000,0.05,12,1456547729,1456547821,1456549164,1435
3,1572864,500000000,0.5,12,1455554477,1455562910,1455576367,21890
2,99840000,400000000,0.05,12,1456489270,1456489338,1456490213,943
4,133120000,400000000,0.05,12,1456290766,1456290834,1456291594,828
2,99840000,200000000,0.05,6,1458753461,1458753502,1458754008,547
2,16640000,500000000,0.35,24,1458972769,1458973341,1458975178,2409
1,66560000,500000000,0.05,12,1456143559,1456143625,1456145145,1586
4,16640000,500000000,0.05,24,1459287507,1459287703,1459290489,2982
1,33280000,300000000,0.5,12,1456430044,1456430304,1456431027,983
2,134217728,200000000,0.05,6,1458865336,1458865411,1458865671,335
2,134217728,500000000,0.35,6,1458899733,1458899914,1458901358,1625
2,1572864,200000000,0.5,12,1455345206,1455348065,1455352436,7230
1,66560000,400000000,0.5,12,1456135089,1456135345,1456136817,1728
2,134217728,400000000,0.05,6,1458889471,1458889517,1458890552,1081
2,134217728,200000000,0.05,24,1458863578,1458863651,1458863909,331
4,16640000,200000000,0.5,48,1459222447,1459222767,1459223580,1133
2,16640000,300000000,0.05,48,1458936075,1458936263,1458937721,1646
4,134217728,400000000,0.5,12,1456272019,1456272454,1456274161,2142
2,134217728,300000000,0.35,48,1458869997,1458870113,1458870657,660
2,134217728,500000000,0.5,24,1458908110,1458908351,1458909324,1214
4,134217728,400000000,0.05,24,1459174041,1459174103,1459174896,855
1,2097152,400000000,0.05,12,1454397168,1454397837,1454408143,10975
1,2097152,200000000,0.05,12,1454381540,1454381942,1454387574,6034
4,133120000,200000000,0.05,6,1459079045,1459079089,1459079516,471
2,99840000,200000000,0.35,24,1458748857,1458748953,1458749246,389
3,99840000,200000000,0.5,12,1456529578,1456529707,1456529937,359
4,16640000,200000000,0.05,48,1459217221,1459217344,1459218399,1178
4,133120000,500000000,0.05,24,1459125613,1459125696,1459126858,1245
2,1572864,300000000,0.05,12,1454513366,1454514165,1454523555,10189
2,99840000,200000000,0.35,48,1458749784,1458749876,1458750174,390
1,33280000,400000000,0.05,12,1456434587,1456434662,1456435752,1165
4,134217728,200000000,0.5,24,1459149100,1459149225,1459149458,358
4,99840000,200000000,0.5,48,1459011558,1459011674,1459012020,462
4,16640000,400000000,0.05,6,1459263401,1459263522,1459265068,1667
3,2097152,400000000,0.5,12,1455592070,1455596411,1455602821,10751
2,99840000,200000000,0.05,24,1458751637,1458751676,1458751992,355
3,133120000,200000000,0.05,12,1456222651,1456222694,1456223082,431
4,133120000,200000000,0.5,24,1459080322,1459080434,1459080725,403
1,99840000,300000000,0.05,12,1456443338,1456443392,1456443960,622
1,1572864,300000000,0.5,12,1455170796,1455175082,1455182911,12115
2,99840000,300000000,0.35,24,1458757872,1458757991,1458758663,791
4,99840000,300000000,0.5,48,1459025988,1459026148,1459026710,722
2,133120000,500000000,0.35,48,1458841953,1458842127,1458842966,1013
2,134217728,300000000,0.5,48,1458877521,1458877693,1458878272,751
3,133120000,400000000,0.5,12,1456230081,1456230477,1456231279,1198
1,2097152,300000000,0.5,12,1455224450,1455227711,1455232031,7581
3,16640000,500000000,0.05,12,1456511387,1456511561,1456513765,2378
4,99840000,200000000,0.05,12,1456582225,1456582262,1456582693,468
2,16640000,300000000,0.5,6,1458944361,1458944817,1458945740,1379
4,134217728,400000000,0.5,48,1459182292,1459182483,1459183119,827
1,33280000,200000000,0.5,12,1456427965,1456428165,1456428525,560
4,99840000,200000000,0.35,6,1459005476,1459005567,1459006114,638
3,16640000,400000000,0.05,12,1456505188,1456505334,1456506945,1757
2,16640000,500000000,0.5,24,1458992949,1458993690,1458995473,2524
4,133120000,200000000,0.05,12,1456284108,1456284154,1456284529,421
4,2097152,200000000,0.5,12,1455756937,1455763605,1455769198,12261
4,133120000,400000000,0.5,12,1456288788,1456288994,1456289689,901
1,33280000,200000000,0.05,12,1456428980,1456429051,1456429597,617
4,134217728,300000000,0.5,12,1456266043,1456266206,1456267251,1208
4,66560000,400000000,0.5,12,1456303478,1456303699,1456304519,1041
4,99840000,500000000,0.05,12,1456594644,1456594719,1456596006,1362
3,133120000,300000000,0.5,12,1456224568,1456224954,1456225506,938
1,134217728,400000000,0.5,12,1456103211,1456103665,1456104525,1314
4,16640000,400000000,0.5,48,1459269247,1459269874,1459271577,2330
2,99840000,300000000,0.05,24,1458761997,1458762045,1458762664,667
4,16640000,200000000,0.5,24,1459220737,1459221052,1459221729,992
2,134217728,500000000,0.35,48,1458897824,1458898002,1458898966,1142
1,1048576,500000000,0.05,12,1454290619,1454292607,1454321099,30480
2,134217728,300000000,0.05,6,1458874836,1458874887,1458875745,909
3,66560000,400000000,0.05,12,1456253031,1456253189,1456254550,1519
3,134217728,200000000,0.05,12,1456201193,1456201264,1456201839,646
4,133120000,200000000,0.05,24,1459076786,1459076829,1459077146,360
4,16640000,500000000,0.05,6,1459295641,1459295762,1459297853,2212
4,99840000,300000000,0.05,24,1459019354,1459019409,1459020013,659
4,1572864,500000000,0.05,12,1454914297,1454915672,1454933213,18916
4,99840000,500000000,0.05,24,1459057327,1459057413,1459058548,1221
2,134217728,400000000,0.05,24,1458886430,1458886493,1458887317,887
4,16640000,300000000,0.5,6,1459244757,1459245213,1459246113,1356
4,1048576,400000000,0.5,12,1455648881,1455657772,1455669453,20572
4,134217728,200000000,0.35,48,1459143532,1459143629,1459143992,460
3,99840000,300000000,0.5,12,1456531757,1456531932,1456532292,535
3,33280000,400000000,0.5,12,1456520275,1456520622,1456521740,1465
2,33280000,300000000,0.5,12,1456471295,1456471581,1456472065,770
2,2097152,400000000,0.05,12,1454578025,1454578829,1454589633,11608
2,99840000,500000000,0.35,24,1458785953,1458786135,1458787187,1234
2,2097152,500000000,0.5,12,1455426372,1455431766,1455438751,12379
4,133120000,200000000,0.5,6,1459082577,1459082686,1459083096,519
3,99840000,500000000,0.05,12,1456540227,1456540308,1456541543,1316
2,133120000,200000000,0.05,48,1458809121,1458809167,1458809521,400
4,2097152,200000000,0.05,12,1454934067,1454934470,1454939104,5037
4,16640000,400000000,0.35,24,1459247270,1459247721,1459249396,2126
2,99840000,300000000,0.5,6,1458768381,1458768539,1458769183,802
2,16640000,500000000,0.05,24,1458982521,1458982736,1458985144,2623
3,133120000,400000000,0.05,12,1456232532,1456232612,1456233590,1058
2,1048576,300000000,0.5,12,1455274683,1455281141,1455291438,16755
1,1048576,200000000,0.5,12,1455099960,1455104208,1455111434,11474
4,99840000,400000000,0.5,24,1459042257,1459042462,1459043275,1018
1,133120000,200000000,0.05,12,1456114698,1456114762,1456115452,754
2,16640000,400000000,0.05,12,1456459726,1456459851,1456461710,1984
4,1048576,500000000,0.5,12,1455671392,1455682610,1455698857,27465
1,1572864,200000000,0.5,12,1455162139,1455165121,1455170241,8102
4,16640000,500000000,0.35,48,1459280045,1459280583,1459282781,2736
2,16640000,400000000,0.5,6,1458970152,1458970762,1458971982,1830
2,16640000,400000000,0.35,48,1458949123,1458949575,1458951496,2373
2,134217728,200000000,0.35,24,1458860860,1458860949,1458861283,423
4,133120000,300000000,0.5,6,1459096770,1459096930,1459097765,995
2,2097152,300000000,0.05,12,1454568545,1454569234,1454577145,8600
4,33280000,300000000,0.5,12,1456566863,1456567148,1456567770,907
4,66560000,300000000,0.05,12,1456301697,1456301745,1456302417,720
3,133120000,200000000,0.5,12,1456221023,1456221373,1456221803,780
1,133120000,500000000,0.5,12,1456124155,1456124715,1456126233,2078
2,133120000,300000000,0.5,24,1458821417,1458821574,1458822018,601
2,1572864,300000000,0.5,12,1455353218,1455357904,1455364110,10892
2,16640000,200000000,0.05,12,1456452227,1456452294,1456453034,807
4,1572864,300000000,0.5,12,1455707721,1455712484,1455718773,11052
1,33280000,500000000,0.5,12,1456436309,1456436750,1456437902,1593
2,99840000,400000000,0.35,6,1458773042,1458773194,1458774795,1753
1,1048576,400000000,0.05,12,1454267714,1454268976,1454289810,22096
2,16640000,200000000,0.05,48,1458920558,1458920692,1458921581,1023
4,99840000,400000000,0.5,12,1456587260,1456587469,1456588150,890
4,134217728,200000000,0.05,48,1459146831,1459146905,1459147251,420
4,33280000,200000000,0.05,12,1456565347,1456565415,1456565867,520
1,16640000,300000000,0.05,12,1456415226,1456415341,1456416834,1608
2,66560000,300000000,0.05,12,1456185927,1456186049,1456186907,980
4,16640000,300000000,0.35,24,1459225902,1459226230,1459227131,1229
2,133120000,400000000,0.5,12,1456170786,1456171314,1456172810,2024
4,134217728,500000000,0.5,6,1459207688,1459207976,1459209346,1658
1,66560000,300000000,0.05,12,1456133096,1456133204,1456134114,1018
4,16640000,500000000,0.05,48,1459291746,1459292014,1459294440,2694
4,133120000,200000000,0.35,48,1459074174,1459074262,1459074655,481
3,66560000,300000000,0.05,12,1456246291,1456246432,1456247515,1224
2,134217728,300000000,0.05,12,1456151082,1456151147,1456151982,900
3,2097152,400000000,0.05,12,1454758468,1454759270,1454770371,11903
3,133120000,500000000,0.5,12,1456234655,1456234890,1456236091,1436
4,133120000,500000000,0.35,6,1459122366,1459122549,1459124330,1964
4,16640000,300000000,0.05,48,1459235030,1459235202,1459236401,1371
4,2097152,500000000,0.5,12,1455802968,1455808542,1455817035,14067
4,16640000,400000000,0.35,48,1459250469,1459250901,1459252787,2318
1,133120000,300000000,0.05,12,1456117833,1456117907,1456118907,1074
1,66560000,500000000,0.5,12,1456140416,1456140836,1456142613,2197
2,134217728,400000000,0.35,6,1458883991,1458884129,1458885758,1767
4,2097152,500000000,0.05,12,1454963849,1454964891,1454977331,13482
2,133120000,400000000,0.5,24,1458835303,1458835482,1458835978,675
2,133120000,200000000,0.05,12,1456164788,1456164860,1456165306,518
3,2097152,300000000,0.05,12,1454748592,1454749298,1454757333,8741
4,133120000,300000000,0.35,24,1459083902,1459084025,1459084497,595
1,16640000,500000000,0.05,12,1456425053,1456425206,1456427482,2429
4,133120000,300000000,0.05,12,1456287168,1456287216,1456287666,498
4,99840000,300000000,0.5,12,1456583719,1456583882,1456584530,811
4,134217728,400000000,0.35,48,1459169762,1459169899,1459170639,877
2,133120000,200000000,0.35,48,1458806377,1458806475,1458806736,359
4,133120000,300000000,0.5,24,1459093704,1459093875,1459094252,548
2,133120000,300000000,0.05,6,1458820247,1458820316,1458820846,599
2,134217728,400000000,0.05,48,1458887970,1458888046,1458888819,849
4,1572864,300000000,0.05,12,1454883746,1454884557,1454895424,11678
3,133120000,300000000,0.05,12,1456227375,1456227474,1456228577,1202
2,1048576,500000000,0.5,12,1455316476,1455327540,1455344469,27993
1,2097152,300000000,0.05,12,1454388088,1454388686,1454396538,8450
1,2097152,500000000,0.05,12,1454408834,1454409811,1454423311,14477
2,134217728,500000000,0.05,12,1456161407,1456161533,1456162925,1518
2,134217728,400000000,0.5,48,1458892694,1458892879,1458893476,782
3,33280000,500000000,0.5,12,1456524942,1456525365,1456526363,1421
3,2097152,300000000,0.5,12,1455582988,1455586208,1455590726,7738
4,16640000,400000000,0.35,6,1459253817,1459254241,1459255884,2067
3,1048576,400000000,0.5,12,1455468903,1455477773,1455490455,21552
4,133120000,500000000,0.5,24,1459134864,1459135121,1459136138,1274
2,16640000,300000000,0.35,6,1458932148,1458932505,1458933478,1330
4,99840000,400000000,0.35,48,1459031664,1459031821,1459032661,997
4,99840000,500000000,0.5,24,1459065390,1459065650,1459066439,1049
3,1048576,500000000,0.5,12,1455492020,1455503156,1455517152,25132
2,134217728,500000000,0.35,24,1458895940,1458896115,1458897061,1121
3,1572864,300000000,0.5,12,1455526546,1455530901,1455537480,10934
4,133120000,200000000,0.35,24,1459073022,1459073110,1459073405,383
4,134217728,200000000,0.35,24,1459142345,1459142438,1459142711,366
1,134217728,500000000,0.5,12,1456107314,1456108051,1456109573,2259
2,1048576,300000000,0.05,12,1454435486,1454436676,1454452701,17215
1,134217728,200000000,0.05,12,1456098794,1456098857,1456099368,574
2,66560000,200000000,0.5,12,1456180961,1456181114,1456181485,524
2,133120000,200000000,0.35,24,1458805389,1458805477,1458805821,432
4,2097152,200000000,0.9,12,1455029834,1455033878,1455034662,4828
1,2097152,400000000,0.5,12,1455232607,1455237134,1455245316,12709
4,99840000,500000000,0.5,48,1459067708,1459067985,1459068873,1165
2,133120000,400000000,0.05,24,1458830393,1458830456,1458831370,977
4,133120000,300000000,0.5,12,1456285438,1456285600,1456286145,707
4,99840000,300000000,0.5,24,1459024500,1459024671,1459025046,546
2,16640000,200000000,0.05,6,1458922103,1458922158,1458922928,825
2,33280000,500000000,0.5,12,1456478563,1456478984,1456479993,1430
4,99840000,300000000,0.35,24,1459014326,1459014447,1459015026,700
3,1048576,300000000,0.5,12,1455451146,1455458457,1455467584,16438
2,99840000,200000000,0.05,48,1458752518,1458752585,1458752940,422
4,134217728,200000000,0.05,12,1456264005,1456264180,1456264762,757
4,133120000,200000000,0.5,12,1456282985,1456283098,1456283367,382
2,33280000,500000000,0.05,12,1456480810,1456480911,1456482416,1606
2,1572864,500000000,0.05,12,1454540696,1454542343,1454561974,21278
2,1572864,400000000,0.5,12,1455365124,1455370878,1455380059,14935
4,16640000,400000000,0.5,24,1459266169,1459266769,1459268054,1885
4,1048576,400000000,0.05,12,1454817815,1454819460,1454840104,22289
2,134217728,500000000,0.05,6,1458905932,1458905989,1458907424,1492
2,133120000,200000000,0.5,12,1456163685,1456163875,1456164249,564
4,99840000,400000000,0.5,6,1459046296,1459046507,1459048716,2420
4,99840000,500000000,0.5,6,1459070145,1459070398,1459072203,2058
2,99840000,300000000,0.5,48,1458767184,1458767343,1458767813,629
2,16640000,200000000,0.35,48,1458915875,1458916107,1458917127,1252
2,133120000,300000000,0.5,6,1458823845,1458823998,1458824867,1022
4,2097152,300000000,0.05,12,1454940170,1454940800,1454949098,8928
2,134217728,200000000,0.5,48,1458867076,1458867187,1458867394,318
4,134217728,300000000,0.05,24,1459157718,1459157770,1459158328,610
2,1572864,200000000,0.05,12,1454505248,1454505788,1454512562,7314
2,66560000,200000000,0.05,12,1456182161,1456182198,1456182733,572
2,99840000,400000000,0.35,48,1458771480,1458771630,1458772367,887
4,134217728,400000000,0.35,24,1459167650,1459167787,1459168555,905
2,99840000,400000000,0.5,6,1458784036,1458784236,1458785196,1160
4,1572864,500000000,0.5,12,1455736434,1455743903,1455755876,19442
3,99840000,200000000,0.05,12,1456530585,1456530625,1456531041,456
2,134217728,500000000,0.05,48,1458903981,1458904080,1458905189,1208
2,134217728,400000000,0.5,24,1458891201,1458891386,1458892032,831
1,1048576,500000000,0.5,12,1455134136,1455145282,1455161612,27476
2,16640000,400000000,0.5,48,1458966420,1458967047,1458969426,3006
2,134217728,300000000,0.05,48,1458873687,1458873755,1458874231,544
4,1048576,200000000,0.5,12,1455618918,1455623226,1455629479,10561
2,2097152,200000000,0.5,12,1455399645,1455401776,1455405036,5391
2,133120000,400000000,0.05,6,1458833439,1458833514,1458834651,1212
3,1048576,500000000,0.05,12,1454658986,1454661067,1454684579,25593
1,1048576,300000000,0.05,12,1454249735,1454250949,1454266997,17262
4,99840000,200000000,0.35,24,1459003157,1459003248,1459003586,429
2,16640000,400000000,0.05,48,1458958646,1458958864,1458960923,2277
2,2097152,300000000,0.5,12,1455405784,1455408989,1455413754,7970
2,2097152,200000000,0.05,12,1454562644,1454563085,1454567796,5152
4,99840000,400000000,0.35,6,1459033698,1459033868,1459034962,1264
2,134217728,200000000,0.5,24,1458866208,1458866319,1458866548,340
4,99840000,400000000,0.5,48,1459044428,1459044633,1459045270,842
4,1572864,400000000,0.05,12,1454896881,1454897978,1454912537,15656
1,16640000,200000000,0.05,12,1456411978,1456412047,1456412915,937
2,134217728,500000000,0.05,24,1458902086,1458902173,1458903271,1185
1,66560000,300000000,0.5,12,1456131219,1456131411,1456132184,965
2,99840000,200000000,0.35,6,1458750704,1458750801,1458751106,402
